name,year,win_mean,win_std,type
Belgium Jupiler League,2008,0.49019607843137253,0.5015455987406321,home
Belgium Jupiler League,2009,0.468013468013468,0.49981796668187095,home
Belgium Jupiler League,2010,0.4868421052631579,0.5009265701716353,home
Belgium Jupiler League,2011,0.46956521739130436,0.5001613561551916,home
Belgium Jupiler League,2012,0.4659090909090909,0.49978391459295934,home
Belgium Jupiler League,2013,0.421875,0.49776285231308404,home
Belgium Jupiler League,2014,0.44692737430167595,0.498569921481419,home
Belgium Jupiler League,2015,0.4605809128630705,0.49948105850055,home
Belgium Jupiler League,2016,0.5,0.5035088149780135,home
England Premier League,2008,0.41919191919191917,0.4946776148922506,home
England Premier League,2009,0.5026455026455027,0.5006556828051372,home
England Premier League,2010,0.47058823529411764,0.4998028313342633,home
England Premier League,2011,0.4562334217506631,0.49874270500420287,home
England Premier League,2012,0.4629156010230179,0.4992617016202045,home
England Premier League,2013,0.44623655913978494,0.4977705854595825,home
England Premier League,2014,0.4605263157894737,0.4990965313349836,home
England Premier League,2015,0.42894736842105263,0.4955782820445396,home
England Premier League,2016,0.4421052631578947,0.4979490098135239,home
France Ligue 1,2008,0.43157894736842106,0.4966050154331744,home
France Ligue 1,2009,0.46419098143236076,0.4993788115966083,home
France Ligue 1,2010,0.4251968503937008,0.4950228868611733,home
France Ligue 1,2011,0.4424083769633508,0.4973235038043186,home
France Ligue 1,2012,0.46842105263157896,0.4996596536408173,home
France Ligue 1,2013,0.44854881266490765,0.4980031603748068,home
France Ligue 1,2014,0.45789473684210524,0.49888084720539644,home
France Ligue 1,2015,0.42782152230971127,0.4954134155151766,home
France Ligue 1,2016,0.45263157894736844,0.49906624031786295,home
Germany 1. Bundesliga,2008,0.49019607843137253,0.501545598740632,home
Germany 1. Bundesliga,2009,0.42483660130718953,0.4951278749551386,home
Germany 1. Bundesliga,2010,0.45098039215686275,0.4984063319676222,home
Germany 1. Bundesliga,2011,0.46078431372549017,0.49927623605002636,home
Germany 1. Bundesliga,2012,0.4444444444444444,0.49771792510320023,home
Germany 1. Bundesliga,2013,0.4360655737704918,0.4967104906033392,home
Germany 1. Bundesliga,2014,0.4723127035830619,0.5000478996025429,home
Germany 1. Bundesliga,2015,0.45751633986928103,0.4990079089300651,home
Germany 1. Bundesliga,2016,0.45098039215686275,0.49922540619638994,home
Italy Serie A,2008,0.5739644970414202,0.49596853170974753,home
Italy Serie A,2009,0.47480106100795755,0.5000282175005162,home
Italy Serie A,2010,0.48556430446194226,0.5004487556566256,home
Italy Serie A,2011,0.450402144772118,0.49820225110505095,home
Italy Serie A,2012,0.47619047619047616,0.50009472388074,home
Italy Serie A,2013,0.46216216216216216,0.4992413493007977,home
Italy Serie A,2014,0.43243243243243246,0.49608442657967006,home
Italy Serie A,2015,0.4484536082474227,0.4979780101745837,home
Italy Serie A,2016,0.44075829383886256,0.49765870248301214,home
Netherlands Eredivisie,2008,0.5359477124183006,0.5003438789952587,home
Netherlands Eredivisie,2009,0.45161290322580644,0.498457794899178,home
Netherlands Eredivisie,2010,0.5221518987341772,0.5003012955982981,home
Netherlands Eredivisie,2011,0.5068493150684932,0.5008113738712828,home
Netherlands Eredivisie,2012,0.45396825396825397,0.49866873628002795,home
Netherlands Eredivisie,2013,0.5,0.5008190013679068,home
Netherlands Eredivisie,2014,0.4377104377104377,0.49694214648336793,home
Netherlands Eredivisie,2015,0.4738562091503268,0.5001339154214225,home
Netherlands Eredivisie,2016,0.42483660130718953,0.49594156141196855,home
Poland Ekstraklasa,2008,0.5220588235294118,0.5013598066991614,home
Poland Ekstraklasa,2009,0.4583333333333333,0.4993021629537217,home
Poland Ekstraklasa,2010,0.5,0.5011198222313539,home
Poland Ekstraklasa,2011,0.4765625,0.500428737752567,home
Poland Ekstraklasa,2012,0.40625,0.4922322631612652,home
Poland Ekstraklasa,2013,0.4444444444444444,0.49776892863103844,home
Poland Ekstraklasa,2014,0.45982142857142855,0.49949926880702955,home
Poland Ekstraklasa,2015,0.41015625,0.49282536281658046,home
Poland Ekstraklasa,2016,0.3888888888888889,0.49091910224111973,home
Portugal Liga ZON Sagres,2008,0.4375,0.49868247465327653,home
Portugal Liga ZON Sagres,2009,0.44140625,0.49752758816008597,home
Portugal Liga ZON Sagres,2010,0.4583333333333333,0.49930216295372193,home
Portugal Liga ZON Sagres,2011,0.4267241379310345,0.49567091418845,home
Portugal Liga ZON Sagres,2012,0.4199134199134199,0.49461622482749296,home
Portugal Liga ZON Sagres,2013,0.4396887159533074,0.497317708033542,home
Portugal Liga ZON Sagres,2014,0.484251968503937,0.5007386160037736,home
Portugal Liga ZON Sagres,2015,0.45098039215686275,0.49840633196762213,home
Portugal Liga ZON Sagres,2016,0.40555555555555556,0.4923688291671639,home
Scotland Premier League,2008,0.4661016949152542,0.5009768814262774,home
Scotland Premier League,2009,0.3915094339622642,0.4892431381754994,home
Scotland Premier League,2010,0.3826086956521739,0.4870839834268369,home
Scotland Premier League,2011,0.4331983805668016,0.4965235782288733,home
Scotland Premier League,2012,0.3684210526315789,0.4834377244148759,home
Scotland Premier League,2013,0.4398148148148148,0.49751752378903663,home
Scotland Premier League,2014,0.4533333333333333,0.49892742100286636,home
Scotland Premier League,2015,0.425,0.4953761091733724,home
Scotland Premier League,2016,0.4074074074074074,0.4936425176904035,home
Spain LIGA BBVA,2008,0.48125,0.501217072194393,home
Spain LIGA BBVA,2009,0.4837837837837838,0.5004136573502055,home
Spain LIGA BBVA,2010,0.5256410256410257,0.4999835209201873,home
